strategy,model,question_index,metric,score
strategy-1,openai/gpt-oss-20b,0,dice_token,0.41379310344827586
strategy-1,openai/gpt-oss-20b,0,similarity_score,0.3388704318936877
strategy-1,openai/gpt-oss-20b,0,sequence_matching,0.3787375415282392
strategy-1,openai/gpt-oss-20b,0,jaccard,0.2608695652173913
strategy-1,openai/gpt-oss-20b,0,cosine,0.6300315023626969
strategy-1,moonshotai/kimi-k2-instruct-0905,0,dice_token,0.41379310344827586
strategy-1,moonshotai/kimi-k2-instruct-0905,0,similarity_score,0.2576271186440678
strategy-1,moonshotai/kimi-k2-instruct-0905,0,sequence_matching,0.34576271186440677
strategy-1,moonshotai/kimi-k2-instruct-0905,0,jaccard,0.2608695652173913
strategy-1,moonshotai/kimi-k2-instruct-0905,0,cosine,0.6000300022501875
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,0,dice_token,0.41379310344827586
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,0,similarity_score,0.3388704318936877
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,0,sequence_matching,0.3787375415282392
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,0,jaccard,0.2608695652173913
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,0,cosine,0.6300315023626969
strategy-1,llama-3.3-70b-versatile,0,dice_token,0.5161290322580645
strategy-1,llama-3.3-70b-versatile,0,similarity_score,0.32903225806451614
strategy-1,llama-3.3-70b-versatile,0,sequence_matching,0.4
strategy-1,llama-3.3-70b-versatile,0,jaccard,0.34782608695652173
strategy-1,llama-3.3-70b-versatile,0,cosine,0.662336789593058
strategy-1,groq/compound-mini,0,dice_token,0.41379310344827586
strategy-1,groq/compound-mini,0,similarity_score,0.3388704318936877
strategy-1,groq/compound-mini,0,sequence_matching,0.3787375415282392
strategy-1,groq/compound-mini,0,jaccard,0.2608695652173913
strategy-1,groq/compound-mini,0,cosine,0.6300315023626969
strategy-1,openai/gpt-oss-20b,1,dice_token,0.6857142857142857
strategy-1,openai/gpt-oss-20b,1,similarity_score,0.6218487394957983
strategy-1,openai/gpt-oss-20b,1,sequence_matching,0.6330532212885154
strategy-1,openai/gpt-oss-20b,1,jaccard,0.5217391304347826
strategy-1,openai/gpt-oss-20b,1,cosine,0.6926920585956405
strategy-1,moonshotai/kimi-k2-instruct-0905,1,dice_token,0.6486486486486487
strategy-1,moonshotai/kimi-k2-instruct-0905,1,similarity_score,0.5706666666666667
strategy-1,moonshotai/kimi-k2-instruct-0905,1,sequence_matching,0.6453333333333333
strategy-1,moonshotai/kimi-k2-instruct-0905,1,jaccard,0.48
strategy-1,moonshotai/kimi-k2-instruct-0905,1,cosine,0.700800441098995
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,1,dice_token,0.6111111111111112
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,1,similarity_score,0.5043478260869565
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,1,sequence_matching,0.5159420289855072
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,1,jaccard,0.44
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,1,cosine,0.6306363177516375
strategy-1,llama-3.3-70b-versatile,1,dice_token,0.6666666666666666
strategy-1,llama-3.3-70b-versatile,1,similarity_score,0.5079365079365079
strategy-1,llama-3.3-70b-versatile,1,sequence_matching,0.5079365079365079
strategy-1,llama-3.3-70b-versatile,1,jaccard,0.5
strategy-1,llama-3.3-70b-versatile,1,cosine,0.6211640273377457
strategy-1,groq/compound-mini,1,dice_token,0.6111111111111112
strategy-1,groq/compound-mini,1,similarity_score,0.5043478260869565
strategy-1,groq/compound-mini,1,sequence_matching,0.5159420289855072
strategy-1,groq/compound-mini,1,jaccard,0.44
strategy-1,groq/compound-mini,1,cosine,0.6306363177516375
strategy-1,openai/gpt-oss-20b,2,dice_token,0.46511627906976744
strategy-1,openai/gpt-oss-20b,2,similarity_score,0.1336116910229645
strategy-1,openai/gpt-oss-20b,2,sequence_matching,0.42171189979123175
strategy-1,openai/gpt-oss-20b,2,jaccard,0.30303030303030304
strategy-1,openai/gpt-oss-20b,2,cosine,0.3523741786248628
strategy-1,moonshotai/kimi-k2-instruct-0905,2,dice_token,0.34285714285714286
strategy-1,moonshotai/kimi-k2-instruct-0905,2,similarity_score,0.18435754189944134
strategy-1,moonshotai/kimi-k2-instruct-0905,2,sequence_matching,0.3240223463687151
strategy-1,moonshotai/kimi-k2-instruct-0905,2,jaccard,0.20689655172413793
strategy-1,moonshotai/kimi-k2-instruct-0905,2,cosine,0.3270076477253151
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,2,dice_token,0.36363636363636365
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,2,similarity_score,0.25770308123249297
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,2,sequence_matching,0.3473389355742297
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,2,jaccard,0.2222222222222222
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,2,cosine,0.425197473321758
strategy-1,llama-3.3-70b-versatile,2,dice_token,0.4117647058823529
strategy-1,llama-3.3-70b-versatile,2,similarity_score,0.27624309392265195
strategy-1,llama-3.3-70b-versatile,2,sequence_matching,0.35359116022099446
strategy-1,llama-3.3-70b-versatile,2,jaccard,0.25925925925925924
strategy-1,llama-3.3-70b-versatile,2,cosine,0.2520591886570814
strategy-1,groq/compound-mini,2,dice_token,0.5
strategy-1,groq/compound-mini,2,similarity_score,0.3842364532019704
strategy-1,groq/compound-mini,2,sequence_matching,0.458128078817734
strategy-1,groq/compound-mini,2,jaccard,0.3333333333333333
strategy-1,groq/compound-mini,2,cosine,0.25498133240721954
strategy-1,openai/gpt-oss-20b,3,dice_token,0.28
strategy-1,openai/gpt-oss-20b,3,similarity_score,0.37524950099800397
strategy-1,openai/gpt-oss-20b,3,sequence_matching,0.41916167664670656
strategy-1,openai/gpt-oss-20b,3,jaccard,0.16279069767441862
strategy-1,openai/gpt-oss-20b,3,cosine,0.45356397937907983
strategy-1,moonshotai/kimi-k2-instruct-0905,3,dice_token,0.3111111111111111
strategy-1,moonshotai/kimi-k2-instruct-0905,3,similarity_score,0.25267665952890794
strategy-1,moonshotai/kimi-k2-instruct-0905,3,sequence_matching,0.3511777301927195
strategy-1,moonshotai/kimi-k2-instruct-0905,3,jaccard,0.18421052631578946
strategy-1,moonshotai/kimi-k2-instruct-0905,3,cosine,0.41717875759162115
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,3,dice_token,0.25
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,3,similarity_score,0.21479713603818615
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,3,sequence_matching,0.2863961813842482
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,3,jaccard,0.14285714285714285
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,3,cosine,0.3202320154033953
strategy-1,llama-3.3-70b-versatile,3,dice_token,0.37209302325581395
strategy-1,llama-3.3-70b-versatile,3,similarity_score,0.37199124726477023
strategy-1,llama-3.3-70b-versatile,3,sequence_matching,0.4026258205689278
strategy-1,llama-3.3-70b-versatile,3,jaccard,0.22857142857142856
strategy-1,llama-3.3-70b-versatile,3,cosine,0.5069477313139974
strategy-1,groq/compound-mini,3,dice_token,0.2857142857142857
strategy-1,groq/compound-mini,3,similarity_score,0.2602739726027397
strategy-1,groq/compound-mini,3,sequence_matching,0.3561643835616438
strategy-1,groq/compound-mini,3,jaccard,0.16666666666666666
strategy-1,groq/compound-mini,3,cosine,0.4857183649987793
strategy-1,openai/gpt-oss-20b,4,dice_token,0.3673469387755102
strategy-1,openai/gpt-oss-20b,4,similarity_score,0.376425855513308
strategy-1,openai/gpt-oss-20b,4,sequence_matching,0.39923954372623577
strategy-1,openai/gpt-oss-20b,4,jaccard,0.225
strategy-1,openai/gpt-oss-20b,4,cosine,0.37438839013338365
strategy-1,moonshotai/kimi-k2-instruct-0905,4,dice_token,0.38095238095238093
strategy-1,moonshotai/kimi-k2-instruct-0905,4,similarity_score,0.25617977528089886
strategy-1,moonshotai/kimi-k2-instruct-0905,4,sequence_matching,0.2876404494382023
strategy-1,moonshotai/kimi-k2-instruct-0905,4,jaccard,0.23529411764705882
strategy-1,moonshotai/kimi-k2-instruct-0905,4,cosine,0.35906624935876585
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,4,dice_token,0.20512820512820512
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,4,similarity_score,0.2471395881006865
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,4,sequence_matching,0.2654462242562929
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,4,jaccard,0.11428571428571428
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,4,cosine,0.2572478777137633
strategy-1,llama-3.3-70b-versatile,4,dice_token,0.38095238095238093
strategy-1,llama-3.3-70b-versatile,4,similarity_score,0.25617977528089886
strategy-1,llama-3.3-70b-versatile,4,sequence_matching,0.2876404494382023
strategy-1,llama-3.3-70b-versatile,4,jaccard,0.23529411764705882
strategy-1,llama-3.3-70b-versatile,4,cosine,0.35906624935876585
strategy-1,groq/compound-mini,4,dice_token,0.27906976744186046
strategy-1,groq/compound-mini,4,similarity_score,0.30021141649048627
strategy-1,groq/compound-mini,4,sequence_matching,0.35517970401691334
strategy-1,groq/compound-mini,4,jaccard,0.16216216216216217
strategy-1,groq/compound-mini,4,cosine,0.3243723035407737
strategy-1,openai/gpt-oss-20b,5,dice_token,0.3870967741935484
strategy-1,openai/gpt-oss-20b,5,similarity_score,0.16201117318435754
strategy-1,openai/gpt-oss-20b,5,sequence_matching,0.37988826815642457
strategy-1,openai/gpt-oss-20b,5,jaccard,0.24
strategy-1,openai/gpt-oss-20b,5,cosine,0.48290618195132023
strategy-1,moonshotai/kimi-k2-instruct-0905,5,dice_token,0.72
strategy-1,moonshotai/kimi-k2-instruct-0905,5,similarity_score,0.803921568627451
strategy-1,moonshotai/kimi-k2-instruct-0905,5,sequence_matching,0.8137254901960784
strategy-1,moonshotai/kimi-k2-instruct-0905,5,jaccard,0.5625
strategy-1,moonshotai/kimi-k2-instruct-0905,5,cosine,0.6488856845230502
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,5,dice_token,0.4827586206896552
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,5,similarity_score,0.33093525179856115
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,5,sequence_matching,0.4676258992805755
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,5,jaccard,0.3181818181818182
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,5,cosine,0.45883146774112343
strategy-1,llama-3.3-70b-versatile,5,dice_token,0.36363636363636365
strategy-1,llama-3.3-70b-versatile,5,similarity_score,0.27044025157232704
strategy-1,llama-3.3-70b-versatile,5,sequence_matching,0.44025157232704404
strategy-1,llama-3.3-70b-versatile,5,jaccard,0.2222222222222222
strategy-1,llama-3.3-70b-versatile,5,cosine,0.3554093266554554
strategy-1,groq/compound-mini,5,dice_token,0.48
strategy-1,groq/compound-mini,5,similarity_score,0.4444444444444444
strategy-1,groq/compound-mini,5,sequence_matching,0.6203703703703703
strategy-1,groq/compound-mini,5,jaccard,0.3157894736842105
strategy-1,groq/compound-mini,5,cosine,0.5280200004832999
strategy-1,openai/gpt-oss-20b,6,dice_token,0.7272727272727273
strategy-1,openai/gpt-oss-20b,6,similarity_score,0.700507614213198
strategy-1,openai/gpt-oss-20b,6,sequence_matching,0.7106598984771574
strategy-1,openai/gpt-oss-20b,6,jaccard,0.5714285714285714
strategy-1,openai/gpt-oss-20b,6,cosine,0.8934051474415642
strategy-1,moonshotai/kimi-k2-instruct-0905,6,dice_token,0.5925925925925926
strategy-1,moonshotai/kimi-k2-instruct-0905,6,similarity_score,0.5
strategy-1,moonshotai/kimi-k2-instruct-0905,6,sequence_matching,0.5538461538461539
strategy-1,moonshotai/kimi-k2-instruct-0905,6,jaccard,0.42105263157894735
strategy-1,moonshotai/kimi-k2-instruct-0905,6,cosine,0.8304784659725623
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,6,dice_token,0.7619047619047619
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,6,similarity_score,0.5968586387434555
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,6,sequence_matching,0.6910994764397905
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,6,jaccard,0.6153846153846154
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,6,cosine,0.9096248571037154
strategy-1,llama-3.3-70b-versatile,6,dice_token,0.7619047619047619
strategy-1,llama-3.3-70b-versatile,6,similarity_score,0.651685393258427
strategy-1,llama-3.3-70b-versatile,6,sequence_matching,0.651685393258427
strategy-1,llama-3.3-70b-versatile,6,jaccard,0.6153846153846154
strategy-1,llama-3.3-70b-versatile,6,cosine,0.7640509042957673
strategy-1,groq/compound-mini,6,dice_token,0.8
strategy-1,groq/compound-mini,6,similarity_score,0.5792349726775956
strategy-1,groq/compound-mini,6,sequence_matching,0.7103825136612022
strategy-1,groq/compound-mini,6,jaccard,0.6666666666666666
strategy-1,groq/compound-mini,6,cosine,0.9206923582851392
strategy-1,openai/gpt-oss-20b,7,dice_token,0.6086956521739131
strategy-1,openai/gpt-oss-20b,7,similarity_score,0.686046511627907
strategy-1,openai/gpt-oss-20b,7,sequence_matching,0.7325581395348837
strategy-1,openai/gpt-oss-20b,7,jaccard,0.4375
strategy-1,openai/gpt-oss-20b,7,cosine,0.7385489458759964
strategy-1,moonshotai/kimi-k2-instruct-0905,7,dice_token,0.3125
strategy-1,moonshotai/kimi-k2-instruct-0905,7,similarity_score,0.4279835390946502
strategy-1,moonshotai/kimi-k2-instruct-0905,7,sequence_matching,0.4609053497942387
strategy-1,moonshotai/kimi-k2-instruct-0905,7,jaccard,0.18518518518518517
strategy-1,moonshotai/kimi-k2-instruct-0905,7,cosine,0.3830654388414369
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,7,dice_token,0.5217391304347826
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,7,similarity_score,0.6666666666666666
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,7,sequence_matching,0.711864406779661
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,7,jaccard,0.35294117647058826
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,7,cosine,0.67700320038633
strategy-1,llama-3.3-70b-versatile,7,dice_token,0.5833333333333334
strategy-1,llama-3.3-70b-versatile,7,similarity_score,0.6739130434782609
strategy-1,llama-3.3-70b-versatile,7,sequence_matching,0.6847826086956522
strategy-1,llama-3.3-70b-versatile,7,jaccard,0.4117647058823529
strategy-1,llama-3.3-70b-versatile,7,cosine,0.629940788348712
strategy-1,groq/compound-mini,7,dice_token,0.36363636363636365
strategy-1,groq/compound-mini,7,similarity_score,0.5620915032679739
strategy-1,groq/compound-mini,7,sequence_matching,0.5620915032679739
strategy-1,groq/compound-mini,7,jaccard,0.2222222222222222
strategy-1,groq/compound-mini,7,cosine,0.25197631533948484
strategy-2,openai/gpt-oss-20b,0,dice_token,0.6857142857142857
strategy-2,openai/gpt-oss-20b,0,similarity_score,0.5845272206303725
strategy-2,openai/gpt-oss-20b,0,sequence_matching,0.6131805157593123
strategy-2,openai/gpt-oss-20b,0,jaccard,0.5217391304347826
strategy-2,openai/gpt-oss-20b,0,cosine,0.7212849819610277
strategy-2,moonshotai/kimi-k2-instruct-0905,0,dice_token,0.6470588235294118
strategy-2,moonshotai/kimi-k2-instruct-0905,0,similarity_score,0.5321637426900585
strategy-2,moonshotai/kimi-k2-instruct-0905,0,sequence_matching,0.5614035087719298
strategy-2,moonshotai/kimi-k2-instruct-0905,0,jaccard,0.4782608695652174
strategy-2,moonshotai/kimi-k2-instruct-0905,0,cosine,0.7214019629022421
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,0,dice_token,0.6857142857142857
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,0,similarity_score,0.563953488372093
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,0,sequence_matching,0.5930232558139535
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,0,jaccard,0.5217391304347826
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,0,cosine,0.7212849819610277
strategy-2,llama-3.3-70b-versatile,0,dice_token,0.6666666666666666
strategy-2,llama-3.3-70b-versatile,0,similarity_score,0.5120481927710844
strategy-2,llama-3.3-70b-versatile,0,sequence_matching,0.5421686746987951
strategy-2,llama-3.3-70b-versatile,0,jaccard,0.5
strategy-2,llama-3.3-70b-versatile,0,cosine,0.6229918232859787
strategy-2,groq/compound-mini,0,dice_token,0.6285714285714286
strategy-2,groq/compound-mini,0,similarity_score,0.6321525885558583
strategy-2,groq/compound-mini,0,sequence_matching,0.659400544959128
strategy-2,groq/compound-mini,0,jaccard,0.4583333333333333
strategy-2,groq/compound-mini,0,cosine,0.7709818498057165
strategy-2,openai/gpt-oss-20b,1,dice_token,0.7567567567567568
strategy-2,openai/gpt-oss-20b,1,similarity_score,0.6342857142857142
strategy-2,openai/gpt-oss-20b,1,sequence_matching,0.6457142857142857
strategy-2,openai/gpt-oss-20b,1,jaccard,0.6086956521739131
strategy-2,openai/gpt-oss-20b,1,cosine,0.6862739616392314
strategy-2,moonshotai/kimi-k2-instruct-0905,1,dice_token,0.7027027027027027
strategy-2,moonshotai/kimi-k2-instruct-0905,1,similarity_score,0.4342857142857143
strategy-2,moonshotai/kimi-k2-instruct-0905,1,sequence_matching,0.5142857142857142
strategy-2,moonshotai/kimi-k2-instruct-0905,1,jaccard,0.5416666666666666
strategy-2,moonshotai/kimi-k2-instruct-0905,1,cosine,0.6520198622764672
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,1,dice_token,0.7428571428571429
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,1,similarity_score,0.6896551724137931
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,1,sequence_matching,0.6896551724137931
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,1,jaccard,0.5909090909090909
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,1,cosine,0.7433111162394346
strategy-2,llama-3.3-70b-versatile,1,dice_token,0.7428571428571429
strategy-2,llama-3.3-70b-versatile,1,similarity_score,0.4804804804804805
strategy-2,llama-3.3-70b-versatile,1,sequence_matching,0.5225225225225225
strategy-2,llama-3.3-70b-versatile,1,jaccard,0.5909090909090909
strategy-2,llama-3.3-70b-versatile,1,cosine,0.620704416451776
strategy-2,groq/compound-mini,1,dice_token,0.7368421052631579
strategy-2,groq/compound-mini,1,similarity_score,0.6271186440677966
strategy-2,groq/compound-mini,1,sequence_matching,0.6440677966101694
strategy-2,groq/compound-mini,1,jaccard,0.5833333333333334
strategy-2,groq/compound-mini,1,cosine,0.6662098891778447
strategy-2,openai/gpt-oss-20b,2,dice_token,0.7083333333333334
strategy-2,openai/gpt-oss-20b,2,similarity_score,0.48760330578512395
strategy-2,openai/gpt-oss-20b,2,sequence_matching,0.5743801652892562
strategy-2,openai/gpt-oss-20b,2,jaccard,0.5483870967741935
strategy-2,openai/gpt-oss-20b,2,cosine,0.6550869293065003
strategy-2,moonshotai/kimi-k2-instruct-0905,2,dice_token,0.6857142857142857
strategy-2,moonshotai/kimi-k2-instruct-0905,2,similarity_score,0.5373961218836565
strategy-2,moonshotai/kimi-k2-instruct-0905,2,sequence_matching,0.5373961218836565
strategy-2,moonshotai/kimi-k2-instruct-0905,2,jaccard,0.5217391304347826
strategy-2,moonshotai/kimi-k2-instruct-0905,2,cosine,0.633577317467798
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,2,dice_token,0.75
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,2,similarity_score,0.6363636363636364
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,2,sequence_matching,0.6464646464646465
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,2,jaccard,0.6
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,2,cosine,0.6450530404951144
strategy-2,llama-3.3-70b-versatile,2,dice_token,0.7567567567567568
strategy-2,llama-3.3-70b-versatile,2,similarity_score,0.6178010471204188
strategy-2,llama-3.3-70b-versatile,2,sequence_matching,0.6178010471204188
strategy-2,llama-3.3-70b-versatile,2,jaccard,0.6086956521739131
strategy-2,llama-3.3-70b-versatile,2,cosine,0.6792501192775893
strategy-2,groq/compound-mini,2,dice_token,0.85
strategy-2,groq/compound-mini,2,similarity_score,0.68
strategy-2,groq/compound-mini,2,sequence_matching,0.68
strategy-2,groq/compound-mini,2,jaccard,0.7391304347826086
strategy-2,groq/compound-mini,2,cosine,0.8409827590207587
strategy-2,openai/gpt-oss-20b,3,dice_token,0.6274509803921569
strategy-2,openai/gpt-oss-20b,3,similarity_score,0.3143350604490501
strategy-2,openai/gpt-oss-20b,3,sequence_matching,0.6010362694300518
strategy-2,openai/gpt-oss-20b,3,jaccard,0.45714285714285713
strategy-2,openai/gpt-oss-20b,3,cosine,0.593362566541553
strategy-2,moonshotai/kimi-k2-instruct-0905,3,dice_token,0.6521739130434783
strategy-2,moonshotai/kimi-k2-instruct-0905,3,similarity_score,0.5046382189239332
strategy-2,moonshotai/kimi-k2-instruct-0905,3,sequence_matching,0.5862708719851577
strategy-2,moonshotai/kimi-k2-instruct-0905,3,jaccard,0.4838709677419355
strategy-2,moonshotai/kimi-k2-instruct-0905,3,cosine,0.6185568147696459
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,3,dice_token,0.6666666666666666
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,3,similarity_score,0.5799256505576208
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,3,sequence_matching,0.6356877323420075
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,3,jaccard,0.5
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,3,cosine,0.6024594848772786
strategy-2,llama-3.3-70b-versatile,3,dice_token,0.5098039215686274
strategy-2,llama-3.3-70b-versatile,3,similarity_score,0.2442528735632184
strategy-2,llama-3.3-70b-versatile,3,sequence_matching,0.6149425287356322
strategy-2,llama-3.3-70b-versatile,3,jaccard,0.34210526315789475
strategy-2,llama-3.3-70b-versatile,3,cosine,0.5285595099785338
strategy-2,groq/compound-mini,3,dice_token,0.5660377358490566
strategy-2,groq/compound-mini,3,similarity_score,0.2961783439490446
